ID;Nazwa;Opis;Pozycja;Wyświetlane
3;Nowości;;2;1
4;Alkohol na prezent;;3;1
5;Bourbon;;4;1
6;Whisky;;5;1
7;Wódka;;6;1
8;XXL;;7;1
9;Drogie alkohole świata;;8;1
10;Absynt;;9;1
11;Armaniak;;10;1
12;Brandy;;11;1
13;Ciekawy kształt;;12;1
14;Dębowa Polska;;13;1
15;Gin;;14;1
16;Grappa;;15;1
17;Koniak;;16;1
18;Likier;;17;1
19;Nalewka & Miód pitny;;18;1
20;Piwo;;19;1
21;Wino Porto;;20;1
22;Rum;;21;1
23;Sake;;22;1
24;Szampan;;23;1
25;Tequila;;24;1
26;Vermouth;;25;1
27;Wino;;26;1
28;Wino musujące;;27;1
29;Aberfeldy;;28;1
30;Absolut;;29;1
31;Baileys;;30;1
32;Ballantines;;31;1
33;Beluga;;32;1
34;Belvedere;;33;1
35;Bombay Sapphire;;34;1
36;Bushmills;;35;1
37;Carbon Champagne;;36;1
38;Chivas Regal;;37;1
39;Chopin Vodka;;38;1
40;Ciroc;;39;1
41;Dalmore;;40;1
42;Dewar's;;41;1
43;Dom Perignon;;42;1
44;Finlandia;;43;1
45;Glenfiddich;;44;1
46;Glenlivet;;45;1
47;Glenmorangie;;46;1
48;Grey Goose;;47;1
49;Isle Of Jura;;48;1
50;Jack Daniel's;;49;1
51;Jagermeister;;50;1
52;Jameson;;51;1
53;Jim Beam;;52;1
54;Johnnie Walker;;53;1
55;Krug;;54;1
56;Martini;;55;1
57;Metaxa;;56;1
58;Miodula;;57;1
59;Moet & Chandon;;58;1
60;Nemiroff Vodka;;59;1
61;Piper-Heidsieck;;60;1
62;Polmos Siedlce;;61;1
63;Polmos Żyrardów;;62;1
64;Pravda;;63;1
65;Śliwowica;;64;1
66;Veuve Clicquot;;65;1
67;William Grant & Sons;;66;1
68;Wódki regionalne Kurnwica;;67;1
69;Akcesoria;;68;1
70;Słodycze;;69;1
71;Kawa & Herbata;;70;1
72;Napoje energetyczne;;71;1
