ID;Nazwa;Opis;Pozycja;Wyświetlane
1;Nowości;;0;1
2;Alkohol na prezent;;1;1
3;Bourbon;;2;1
4;Whisky;;3;1
5;Wódka;;4;1
6;XXL;;5;1
7;Drogie alkohole świata;;6;1
8;Absynt;;7;1
9;Armaniak;;8;1
10;Brandy;;9;1
11;Ciekawy kształt;;10;1
12;Dębowa Polska;;11;1
13;Gin;;12;1
14;Grappa;;13;1
15;Koniak;;14;1
16;Likier;;15;1
17;Nalewka & Miód pitny;;16;1
18;Piwo;;17;1
19;Wino Porto;;18;1
20;Rum;;19;1
21;Sake;;20;1
22;Szampan;;21;1
23;Tequila;;22;1
24;Vermouth;;23;1
25;Wino;;24;1
26;Wino musujące;;25;1
27;Aberfeldy;;26;1
28;Absolut;;27;1
29;Baileys;;28;1
30;Ballantines;;29;1
31;Beluga;;30;1
32;Belvedere;;31;1
33;Bombay Sapphire;;32;1
34;Bushmills;;33;1
35;Carbon Champagne;;34;1
36;Chivas Regal;;35;1
37;Chopin Vodka;;36;1
38;Ciroc;;37;1
39;Dalmore;;38;1
40;Dewar's;;39;1
41;Dom Perignon;;40;1
42;Finlandia;;41;1
43;Glenfiddich;;42;1
44;Glenlivet;;43;1
45;Glenmorangie;;44;1
46;Grey Goose;;45;1
47;Isle Of Jura;;46;1
48;Jack Daniel's;;47;1
49;Jagermeister;;48;1
50;Jameson;;49;1
51;Jim Beam;;50;1
52;Johnnie Walker;;51;1
53;Krug;;52;1
54;Martini;;53;1
55;Metaxa;;54;1
56;Miodula;;55;1
57;Moet & Chandon;;56;1
58;Nemiroff Vodka;;57;1
59;Piper-Heidsieck;;58;1
60;Polmos Siedlce;;59;1
61;Polmos Żyrardów;;60;1
62;Pravda;;61;1
63;Śliwowica;;62;1
64;Veuve Clicquot;;63;1
65;William Grant & Sons;;64;1
66;Wódki regionalne Kurnwica;;65;1
67;Akcesoria;;66;1
68;Słodycze;;67;1
69;Kawa & Herbata;;68;1
70;Napoje energetyczne;;69;1
